Id_Fiche;Numero_Fiche;Intitule;Abrege_Libelle;Abrege_Intitule;Nomenclature_Europe_Niveau;Nomenclature_Europe_Intitule;Accessible_Nouvelle_Caledonie;Accessible_Polynesie_Francaise;Date_dernier_jo;Date_Decision;Date_Fin_Enregistrement;Date_Effet;Type_Enregistrement;Validation_Partielle;Actif
9636;RNCP14395;"Domaine : Droit, Economie, Gestion
Mention Marketing
Spécialité  Conseil et Marketing stratégique
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
4136;RNCP14593;Infographiste-multimédia;;;NIV5;Niveau 5;Non;Non;05/08/2017;;05/08/2019;;Enregistrement sur demande;;INACTIVE
9746;RNCP14832;Sciences, Technologies, Santé - Mention : Sciences de la Matière - Spécialité : Enseignement de la Physique et de la Chimie;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
9801;RNCP15062;"Domaine Droit, Economie, gestion
Mention Finance
Spécialité Finance de marché
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
9898;RNCP15189;Droit, Économie, Gestion, mention Management, spécialité développement durable et qualité globale;MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
4375;RNCP15357;Manager des ressources humaines;;;NIV7;Niveau 7;Non;Non;30/12/2017;;30/12/2019;;Enregistrement sur demande;;INACTIVE
10013;RNCP15674;Gestion et protection de la nature;BTSA;Brevet de technicien supérieur agricole;NIV5;Niveau 5;Oui;Oui;;;31/08/2024;;Enregistrement de droit;;INACTIVE
10056;RNCP15912;Arts, Lettres et Langues, spécialité Français Langue étrangère / Français langue seconde en milieux scolaire et entrepreneurial;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
15683;RNCP16193;"Sciences Humaines et Sociales
Mention : Histoire, Histoire de l’art et Archéologie
Spécialité Patrimoine";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
10225;RNCP16403;"Marketing et Vente,
Spécialité Direction Commerciale";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
2378;RNCP16595;Enquêteur judiciaire de sécurité intérieure;;;NIV5;Niveau 5;Non;Non;28/04/2013;;28/04/2018;;Enregistrement sur demande;;INACTIVE
2420;RNCP16879;Gestionnaire en maintenance informatique;;;NIV5;Niveau 5;Non;Non;16/06/2013;;16/06/2016;;Enregistrement sur demande;;INACTIVE
10407;RNCP17058;Management spécialité Management des opérations;MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
10467;RNCP17242;Ingénieur diplômé de l’Université de technologie de Troyes, spécialité automatique et informatique industrielle, en convention avec l'Université de Reims;Titre ingénieur;Titre ingénieur;NIV7;Niveau 7;Non;Non;31/08/2019;;31/08/2023;;Enregistrement de droit;;INACTIVE
10533;RNCP17421;Diplôme INSEEC Bordeaux / Paris / Alpes-Savoie visé par le Ministère de l'Enseignement Supérieur et de la Recherche et conférant le grade MASTER.(Programme grande école de l'Institut des Hautes Etudes Economiques et Commerciales(INSEEC)).;DipViGrM;Diplôme visé grade de master;NIV7;Niveau 7;Non;Non;;;31/08/2015;;Enregistrement de droit;;INACTIVE
14064;RNCP17644;"Ingénieur diplômé de l’École nationale supérieure d’ingénieurs de Poitiers de l’université de Poitiers, spécialité eau et génie civil
";Titre ingénieur;Titre ingénieur;NIV7;Niveau 7;Non;Non;31/08/2017;;26/07/2024;;Enregistrement de droit;;INACTIVE
2539;RNCP17831;Contrôleur de gestion;;;NIV6;Niveau 6;Non;Non;29/11/2013;;29/11/2018;;Enregistrement sur demande;;INACTIVE
10862;RNCP18050;Mention Science du management spécialité Gestion financière et fiscalité;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
5308;RNCP18229;CQP Vendeur(se) conseil en magasin (CQPI);;;REPRISE;Sans niveau – le positionnement dans le cadre de national des certifications professionnelles est non déterminé;Non;Non;04/01/2019;;04/01/2020;;Enregistrement sur demande;;INACTIVE
10889;RNCP18392;"Arts Lettres Langues 
Mention Sciences du Langage
Spécialité Langage et Enjeux de Société 
Finalité Recherche et Professionnelle
";MASTER;Master;NIV7;Niveau 7;Non;Non;;;;;Enregistrement de droit;;INACTIVE
10976;RNCP18705;Ingénieur diplômé de l’Institut des sciences et techniques de l’ingénieur d’Angers spécialité génie des systèmes industriels;Titre ingénieur;Titre ingénieur;NIV7;Niveau 7;Non;Non;;;31/08/2020;;Enregistrement de droit;;INACTIVE
11090;RNCP18999;Sciences, Technologies, Santé Mention Géologie appliquée Spécialité Géologie appliquée;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
11169;RNCP19212;MASTER – Domaine : DROIT ECONOMIE GESTION – Mention : SCIENCES DU MANAGEMENT – Spécialité : AUDIT INTERNE DES ORGANISATIONS;MASTER;Master;NIV7;Niveau 7;Non;Non;;;31/10/2019;;Enregistrement de droit;;INACTIVE
2693;RNCP19376;Responsable qualité, sécurité/sûreté, environnement;;;NIV6;Niveau 6;Non;Non;09/08/2014;;09/08/2019;;Enregistrement sur demande;;INACTIVE
