Numero_Fiche;Codes_Rome_Code;Codes_Rome_Libelle
RNCP39047;H1402;Management et ingénierie méthodes et industrialisation
RNCP39117;E1104;Conception de contenus multimédias
RNCP39188;N1301;Conception et organisation de la chaîne logistique
RNCP39264;K2105;Enseignement artistique
RNCP39325;H1101;Assistance et support technique client
RNCP39408;F1106;Ingénierie et études du BTP
RNCP39467;M1302;Direction de petite ou moyenne entreprise
RNCP39532;E1306;Prépresse
RNCP39599;H2502;Management et ingénierie de production
RNCP39692;H1206;Management et ingénierie études, recherche et développement industriel
RNCP39792;N4202;Direction d''exploitation des transports routiers de personnes
RNCP39880;F1106;Ingénierie et études du BTP
RNCP39958;E1104;Conception de contenus multimédias
RNCP40051;F1108;Métré de la construction
RNCP40123;I1307;Installation et maintenance télécoms et courants faibles
RNCP40193;C1203;Relation clients banque/finance
RNCP40279;G1301;Conception de produits touristiques
RNCP40349;E1103;Communication
RNCP40445;N1201;Affrètement transport
RNCP40519;F1106;Ingénierie et études du BTP
RNCP40591;M1707;Stratégie commerciale
RNCP40663;K2111;Formation professionnelle
RNCP40737;H1206;Management et ingénierie études, recherche et développement industriel
RNCP40792;M1805;Études et développement informatique
RNCP40868;F1106;Ingénierie et études du BTP
RNCP40947;M1806;Conseil et maîtrise d''ouvrage en systèmes d''information
RNCP41007;H1209;Intervention technique en études et développement électronique
RNCP41059;M1204;Contrôle de gestion
RNCP41145;F1102;Conception - aménagement d''espaces intérieurs
RNCP41196;M1201;Analyse et ingénierie financière
RNCP41248;M1805;Études et développement informatique
RNCP41310;I1305;Installation et maintenance électronique
RNCP41388;K1704;Management de la sécurité publique
RNCP41483;H1206;Management et ingénierie études, recherche et développement industriel
RNCP41554;K1102;Aide aux bénéficiaires d''une mesure de protection juridique
RNCP41604;H2701;Pilotage d''installation énergétique et pétrochimique
RNCP41673;M1403;Études et prospectives socio-économiques
RNCP41774;G1403;Gestion de structure de loisirs ou d''hébergement touristique
RNCP41864;I1604;Mécanique automobile et entretien de véhicules
RNCP41953;G1202;Animation d''activités culturelles ou ludiques
RNCP42042;L1304;Réalisation cinématographique et audiovisuelle
RNCP42153;M1707;Stratégie commerciale
RNCP42237;M1804;Études et développement de réseaux de télécoms
RNCP42296;M1805;Études et développement informatique
RNCP42371;M1705;Marketing
RNCP42438;H1102;Management et ingénierie d''affaires
RNCP42503;M1810;Production et exploitation de systèmes d''information
RNCP42578;M1802;Expertise et support en systèmes d''information
RNCP42656;K1801;Conseil en emploi et insertion socioprofessionnelle
