code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
0311168B;77694425800016;collège;Collège Sainte-Marie de Nevers;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;18-20 rue Merly;31000;Toulouse;31555;;05 61 21 51 97;;Haute-Garonne;Toulouse;Occitanie;76;1.44292;43.6091;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16349;06/06/2020;19/02/2026
0512014M;19512014200011;collège;Collège Léonard de Vinci;;public;Ministère chargé de l'Éducation nationale;;;;;;10 Boulevard de l'Europe;51420;Witry-lès-Reims;51662;;03 26 84 64 90;;Marne;Reims;Grand Est;44;4.10807;49.2917;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12595;06/06/2020;30/01/2023
0740276Y;19740276100013;lycée agricole;Lycée agricole de Contamine sur Arve;;public;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;CFPPA de Contamine sur Arve à Contamine-sur-Arve (74);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19037;;150 route de la Mairie;74130;Contamine-sur-Arve;74087;;04 50 03 62 01;;Haute-Savoie;Grenoble;Auvergne-Rhône-Alpes;84;6.34057;46.1279;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6709;06/06/2020;06/11/2025
0880152M;19880152400010;lycée général, technologique ou polyvalent;Lycée des métiers de l'ingénierie et des créations industrielles Georges Baumont;;public;Ministère chargé de l'Éducation nationale;;;;;;32 rue de l'Orme;88100;Saint-Dié-des-Vosges;88413;;03 29 53 57 57;;Vosges;Nancy-Metz;Grand Est;44;6.94696;48.2993;;Allemand, Anglais, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11338;06/06/2020;04/03/2026
0630018C;19630018000011;lycée général, technologique ou polyvalent;Lycée général Blaise Pascal;;public;Ministère chargé de l'Éducation nationale;;;Collège Blaise Pascal à Clermont-Ferrand (63);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2686;;36 avenue Carnot;63037;Clermont-Ferrand;63113;Cedex;04 73 98 26 50;;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3.09415;45.7753;;Allemand, Anglais, Chinois, Espagnol, Grec ancien, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12834;06/06/2020;07/11/2025
0811066U;77723746200026;collège;Collège Sainte-Germaine;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;Le village;81500;Massac-Séran;81159;;05 63 58 04 91;;Tarn;Toulouse;Occitanie;76;1.8175697;43.6997079;;Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4131;06/06/2020;03/05/2022
9710405N;19971405600017;collège;Collège Raizet;;public;Ministère chargé de l'Éducation nationale;;;;;;Avenue du Maréchal Leclerc;97139;Les Abymes;97101;;05 90 89 37 40;;Guadeloupe;Guadeloupe;Guadeloupe;01;-61.504555;16.277136;;Anglais, Créole, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures régionales : créole;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7727;06/06/2020;07/07/2023
0750182R;33482139400023;collège;Collège privé Saint-Louis;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;47 rue Montcalm;75018;Paris;75100;;01 42 54 45 83;18;Paris;Paris;Ile-de-France;11;2.33975;48.8942;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11279;06/06/2020;06/06/2020
;20004632400022;centre de formation d'apprentis;GRETA Ardèche Drôme - antenne de Montélimar;;public;Ministère chargé de l'Éducation nationale;;;GRETA Ardèche Drôme à Valence (26) | GRETA Ardèche Drôme - antenne d'Amblard à Valence (26) | GRETA Ardèche Drôme - antenne d'Annonay à Annonay (07) | GRETA Ardèche Drôme - antenne d'Aubenas à Aubenas (07) | GRETA Ardèche Drôme - antenne de Die à Die (26) | GRETA Ardèche Drôme - antenne de Montélimar Nocaze à Montélimar (26) | GRETA Ardèche Drôme - antenne de Romans-sur-Isère Bouvet à Romans-sur-Isère (26) | GRETA Ardèche Drôme - antenne de Romans-sur-Isère Dauphiné à Romans-sur-Isère (26) | GRETA Ardèche Drôme - antenne de Tain-l'hermitage à Tain-l'Hermitage (26) | GRETA Ardèche Drôme - antenne de Thueyts à Thueyts (07) | GRETA Ardèche Drôme - antenne de Tournon-sur-Rhône à Tournon-sur-Rhône (07) | GRETA Ardèche Drôme - antenne de Vals-les-Bains à Vals-les-Bains (07) | Lycée polyvalent les Catalins à Montélimar (26);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16922 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24838 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23664 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23669 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23045 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23666 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24310 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23665 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24837 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23168 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23667 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23663 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1445;;24 avenue des Catalins;26200;Montélimar;26198;;04 75 82 37 90;;Drôme;Grenoble;Auvergne-Rhône-Alpes;84;4.7561793;44.5677475;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23668;10/05/2023;19/12/2025
0595383F;78351045600024;collège;Collège Sainte-Jeanne d'Arc;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;BP 20069;157 rue de l'Hotel de Ville;59620;Aulnoye-Aymeries;59033;;03 27 53 60 30;;Nord;Lille;Hauts-de-France;32;3.83016;50.1996;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11865;06/06/2020;01/10/2025
