code NSF;code scolarité;sigle type formation;libellé type formation;libellé formation principal;sigle formation;durée;niveau de sortie indicatif;code RNCP;niveau de certification;libellé niveau de certification;tutelle;URL et ID Onisep;domaine/sous-domaine;date création;date de modification
117 | 113;1701170D;;diplôme d'ingénieur spécialisé (ingénieur diplômé de l'année de spécialisation);diplôme d'ingénieur spécialisé en technologies du sous-sol pour des énergies durables de l'École nationale supérieure du pétrole et des moteurs;ENSPM;1 an;bac + 5;40767;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.11801;environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | informatique, Internet/systèmes et réseaux;03/09/2025;05/01/2026
233;16X23308;;formation d'école spécialisée;architecte d'intérieur (CREAD);;5 ans;bac + 5;38522;1;niveau 7;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.9789;arts, culture, artisanat/arts appliqués;06/02/2024;19/04/2024
136;;DU;diplôme d'université;DU diplôme intensif de l'Institut national des langues et civilisations orientales (INALCO);;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.4565;lettres, langues, enseignement/langues;06/06/2020;06/02/2024
110;;;classe de mise à niveau post bac;formation générale scientifique en sciences et techniques;FGS ST;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.2696;sciences/chimie | informatique, Internet/informatique (généralités) | sciences/mathématiques | sciences/physique;06/06/2020;17/12/2025
323 | 322 | 132;46032301;DU;diplôme d'université;DU diplôme de spécialisation professionnelle Assistant designer graphique multimédia;DSP;1 an;bac + 1;37207;4;niveau 4;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.7531;arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/communication | information-communication, audiovisuel/multimédia;22/02/2022;03/06/2024
211;46M21101;BTM;brevet technique des métiers;BTM fleuriste;;2 ans;bac ou équivalent;36404;4;niveau 4;Chambres de métiers et de l'artisanat;https://www.onisep.fr/http/redirection/formation/slug/FOR.8128;commerce, marketing, vente/grande distribution et petits commerces | commerce, marketing, vente/marketing, vente;16/09/2022;28/09/2022
200;17020053;;diplôme d'ingénieur;diplôme d'ingénieur de l'École nationale supérieure en génie des systèmes et de l'innovation de l'université de Lorraine en partenariat avec l'ITII Lorraine;ENSGSI;3 ans;bac + 5;37543;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10226;sciences/chimie | électricité, électronique, robotique/électrotechnique | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fabrication, productique | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | matières premières, fabrication, industries/maintenance, qualité | matières premières, fabrication, industries/matériaux | sciences/mathématiques | mécanique/mécanique (généralités) | santé, social, sport/médical | matières premières, fabrication, industries/méthodes industrialisation | armée, sécurité/sécurité, prévention;26/06/2024;16/10/2025
;;FCIL;formation complémentaire d'initiative locale;FCIL motoriste;;1 an;CAP ou équivalent + 1 an;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.9884;mécanique/automobile | mécanique/mécanique (généralités);28/02/2024;02/05/2024
134;;;formation d'école spécialisée;bachelor animation 3D;;3 ans;bac + 3;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.3040;arts, culture, artisanat/arts graphiques;06/06/2020;13/11/2024
251 | 250 | 200;17025125;;diplôme d'ingénieur;diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Tours spécialité mécanique et génie mécanique en partenariat avec l'ITII Val de Loire;Polytech;3 ans;bac + 5;40020;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.6833;matières premières, fabrication, industries/matériaux | mécanique/mécanique (généralités);27/01/2021;12/05/2026
128;;DU;diplôme d'université;DU collège de droit - Approches fondamentales du droit;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.327;économie, droit, politique/droit (généralités);06/06/2020;02/02/2023
