session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;fili;form_lib_voe_acc;regr_forma;fil_lib_voe_acc;detail_forma;lien_form_psup;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;rang_der_max;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;tri
2019;Public;0692437Z;Université Jean Moulin Lyon 3;69;Rhône;Auvergne-Rhône-Alpes;Lyon;Licence;Licence - Arts-lettres-langues;;Langues étrangères appliquées;Langues Etrangères Appliquées Anglais-Arabe - Cursus 4 ans;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=13897&g_ta_cod=13897;45.74772, 4.85925;39;161;134;161;;97;38;16;10;3;1;45;0;0;0;0;0;153;0;;;95;38;16;10;3;1;39;113;148;39;34;39;0;8.0;34.0;39.0;;13;28;24;3;1;11;1;16;6;5;0;8;2;1;;;14;14;20.5128205128;87.1794871795;100.0;87.171875;50.0;50.0;;46.421875;71.78125;3.5712890625;57.140625;21.42578125;17.85546875;0.0;85.703125;28.5703125;10.712890625;7.142578125;3.5712890625;3.5712890625;1_universités
2019;Public;0311383K;Université Toulouse 2 Jean Jaurès;31;Haute-Garonne;Occitanie;Toulouse;Licence;Licence - Arts-lettres-langues;;Arts du spectacle;Communication et arts du spectacle : études théâtrales et visuelles;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=4178&g_ta_cod=4178;43.5795, 1.4032;25;234;168;234;;158;32;12;3;6;2;58;0;0;0;0;0;136;0;;;96;22;4;1;2;1;34;78;108;25;18;25;0;6.0;22.0;25.0;;5;17;16;1;0;8;1;2;7;7;0;14;0;0;;;13;13;24.0;88.0;100.0;72.0;76.46875;76.46875;;29.41015625;68.0;5.8818359375;11.763671875;41.171875;41.171875;0.0;94.109375;82.34375;5.8818359375;0.0;0.0;0.0;1_universités
2019;Public;0620109G;Lycée Auguste Behal;62;Pas-de-Calais;Hauts-de-France;Lille;BTS;BTS - Services;;Service et prestation des secteurs sanitaire et social;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=17660&g_ta_cod=17660;50.446, 2.8253;30;752;682;752;;78;21;275;107;205;70;194;0;0;0;0;0;628;0;;;78;21;275;107;116;38;159;116;;30;28;30;0;1.0;28.0;29.0;;8;27;1;14;12;3;0;14;11;2;0;0;4;9;5;5;27;27;3.33333333333;93.3333333333;96.6666666667;93.328125;100.0;100.0;18.515625;29.62890625;90.0;0.0;51.8515625;40.734375;7.4072265625;0.0;3.70361328125;0.0;51.8515625;14.814453125;44.4375;33.328125;2_Lycées
2019;Public;9840023C;Lycée de Taaone;987;Polynésie française;Polynésie française;Polynésie Française;BTS;BTS - Production;;Bâtiment;;;-17.5293, -149.549;24;122;12;120;;13;4;36;1;57;20;14;2;1;0;0;1;120;0;;;13;4;36;1;57;20;14;51;;23;1;23;0;13.0;16.0;17.0;;4;21;2;10;9;2;0;14;5;2;0;0;1;6;15;1;21;21;56.5217391304;69.5652173913;73.9130434783;4.34765625;100.0;100.0;71.421875;19.046875;91.296875;0.0;66.65625;23.80859375;9.5234375;0.0;9.5234375;0.0;47.6171875;4.76171875;42.8515625;28.5703125;2_Lycées
2019;Public;0020059D;Lycée Gérard de Nerval;02;Aisne;Hauts-de-France;Amiens;BTS;BTS - Services;;Comptabilité et gestion;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2072&g_ta_cod=2072;49.3861, 3.3237;35;332;177;280;;70;16;72;23;50;12;88;52;3;8;18;23;185;15;;;51;15;66;22;35;11;33;150;;25;9;19;6;1.0;19.0;22.0;;8;22;2;13;7;3;0;16;4;2;0;1;3;2;11;3;22;22;4.0;76.0;88.0;36.0;100.0;100.0;50;36.359375;88.0;0.0;72.71875;18.1796875;9.08984375;0.0;9.08984375;4.544921875;59.0859375;13.634765625;31.81640625;9.08984375;2_Lycées
2019;Public;0762765T;Lycée professionnel Lavoisier;76;Seine-Maritime;Normandie;Rouen;BTS;BTS - Production;;Maintenance des véhicules option véhicules de transport routier;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=9752&g_ta_cod=9752;49.5265, 0.0979;10;65;3;47;;5;1;9;5;18;9;15;18;0;5;9;4;28;6;;;2;0;4;2;18;9;4;31;;6;0;3;3;1.0;3.0;5.0;;3;5;0;0;5;1;0;0;4;1;0;0;0;5;3;0;4;4;16.6666666667;50.0;83.3333333333;0.0;80.0;80.0;60;60.0;83.328125;0.0;0.0;80.0;20.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;2_Lycées
2019;Public;9720726G;Lycée Joseph Pernock;972;Martinique;Martinique;Martinique;BTS;BTS - Production;;Qualité dans les industries alimentaires et les bio-industries;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=11827&g_ta_cod=11827;14.8315, -61.0457;12;64;42;64;;19;4;22;10;12;5;11;0;0;0;0;0;57;0;;;17;4;21;10;12;5;7;31;;16;12;16;0;7.0;16.0;16.0;;2;13;4;6;3;3;0;8;5;0;0;1;3;1;7;6;13;13;43.75;100.0;100.0;75.0;100.0;100.0;53.84375;15.3828125;81.25;0.0;61.53125;38.4609375;0.0;0.0;30.765625;7.69140625;46.1484375;23.07421875;23.07421875;7.69140625;2_Lycées
2019;Public;0530011Z;Lycée Douanier Rousseau;53;Mayenne;Pays de la Loire;Nantes;BTS;BTS - Services;;Support à l'action managériale;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=6196&g_ta_cod=6196;48.072, -0.7607;24;227;153;196;;17;4;85;19;46;19;48;31;0;0;21;10;125;8;;;4;1;63;12;35;11;23;90;;22;15;20;2;4.0;16.0;18.0;;4;15;1;9;5;7;0;12;3;0;0;0;1;2;2;0;10;10;18.1818181818;72.7272727273;81.8181818182;68.171875;66.65625;66.65625;13.33203125;26.6640625;68.171875;0.0;80.0;20.0;0.0;0.0;6.666015625;0.0;60.0;6.666015625;33.328125;13.33203125;2_Lycées
2019;Public;0561641E;Lycée Marcellin Berthelot;56;Morbihan;Bretagne;Rennes;BTS;BTS - Production;;Europlastics et composites à référentiel commun européen - option Conception d'Outillage;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=20030&g_ta_cod=20030;47.6627, -2.4619;15;78;7;73;;14;1;28;3;23;5;8;5;0;0;2;3;69;3;;;14;1;28;3;19;3;8;49;;13;1;11;2;1.0;10.0;12.0;;0;11;1;6;4;2;0;7;4;0;0;0;3;1;3;0;10;10;7.69230769231;76.9230769231;92.3076923077;7.69140625;90.90625;90.90625;27.26953125;0.0;84.609375;0.0;63.6328125;36.359375;0.0;0.0;9.08984375;0.0;54.5390625;27.26953125;36.359375;9.08984375;2_Lycées
2019;Public;0010013J;Lycée Lalande;01;Ain;Auvergne-Rhône-Alpes;Lyon;CPGE;Classe préparatoire scientifique;;MPSI;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2000&g_ta_cod=2000;46.2026, 5.2259;48;627;160;554;450;504;44;3;1;0;0;47;73;41;0;0;32;436;23;356;418;419;38;0;0;0;0;17;350;437;27;6;23;4;2.0;20.0;25.0;13;4;25;25;0;0;2;1;2;9;8;5;22;0;0;2;0;19;19;7.40740740741;74.0740740741;92.5925925926;22.21875;76.0;76.0;8;16.0;92.578125;4.0;8.0;36.0;32.0;20.0;100.0;88.0;0.0;0.0;0.0;0.0;2_Lycées
